Census Tract,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),County
6001400100,4.8479879853920496,2.7987897125567298,1-5% (lowest scores),3120,7.82,66.12,26.06,3.78,74.26,3.43,0,12.53,5.99,Alameda County
6001400200,4.8821074626317102,2.8744326777609701,1-5% (lowest scores),2007,10.46,66.32,23.22,8.67,73.49,2.59,0.2,8.52,6.53,Alameda County
6001400300,11.2042444639356,15.935451336359099,15-20%,5051,11.42,73.04,15.54,6.95,67.99,9.09,0,12.14,3.84,Alameda County
6001400400,12.3901903019727,18.9737771053959,15-20%,4007,9.38,78.79,11.83,12.1,63.74,6.64,0.87,10.48,6.16,Alameda County
6001400500,16.734730783552799,29.740292486132098,25-30%,4124,9.12,81.96,8.92,9.46,45.44,21.39,0,11.34,12.37,Alameda County
6001400600,20.024315441033298,37.594553706505302,35-40%,1745,9.97,81.43,8.6,7.51,49.28,20.52,0.17,10.54,11.98,Alameda County
6001400700,36.712423695168198,70.133635905194197,70-75%,5128,7.62,82.45,9.93,19.38,38.28,28.24,0,6.42,7.68,Alameda County
6001400800,37.097201222363601,70.713565305093297,70-75%,4069,9.04,81.52,9.44,10.62,43.55,23.27,0.2,15.19,7.18,Alameda County
6001400900,40.7060364177987,76.147251638930896,75-80%,2471,11.17,79.81,9.02,15.82,41.64,28.77,2.47,4.09,7.2,Alameda County
6001401000,43.736745402206402,80.408472012102905,80-85%,6133,9.96,80.61,9.42,18.72,33.44,30.36,0,8.27,9.21,Alameda County
6001401100,32.9266050471374,63.855269793242599,60-65%,4287,8.82,84.7,6.48,10.75,52.39,7.74,0,20.08,9.03,Alameda County
6001401200,20.2498287024893,38.111447302067603,35-40%,2619,8.59,82.44,8.97,12.18,61.02,11.26,0.08,11.49,3.97,Alameda County
6001401300,43.677588833029901,80.345436207765999,80-85%,3921,3.9,81.92,14.18,10.12,38.41,28.51,0.61,16.76,5.59,Alameda County
6001401400,45.084137702037097,82.123045890065598,80-85%,4732,8.09,84.53,7.38,18.96,25.74,31.93,1.54,12.37,9.47,Alameda County
6001401500,44.528207896718598,81.429652042360104,80-85%,2839,4.54,84.71,10.74,14.12,36.91,37.34,0,5.39,6.23,Alameda County
6001401600,48.779958707055997,86.4977307110439,85-90%,2289,6.68,88.16,5.16,20.05,28.66,35.91,0,11.36,4.02,Alameda County
6001401700,43.4695037587936,80.093292990418604,80-85%,3018,12.06,80.22,7.72,26.64,38.87,17.03,0,12.16,5.3,Alameda County
6001401800,45.098748101804702,82.160867372667695,80-85%,1801,10.94,80.07,9,20.27,33.48,38.2,0.22,5.5,2.33,Alameda County
6001402200,55.820246197620399,93.116490166414494,90-95%,2477,11.51,79.09,9.41,16.23,29.87,31.77,1.25,16.35,4.52,Alameda County
6001402400,37.306780864009497,71.016137165910195,70-75%,2866,8.86,74.56,16.57,9.14,24.11,48.39,0,12.98,5.37,Alameda County
6001402500,50.813152200588704,88.666162380231995,85-90%,1781,17.24,72.99,9.77,14.77,10.89,58.39,0,13.31,2.64,Alameda County
6001402600,42.117645753393099,78.227433182047406,75-80%,1243,5.87,68.46,25.66,16.49,14.4,25.91,0.48,38.7,4.02,Alameda County
6001402700,38.874768962590402,73.298033282904697,70-75%,1890,9.68,82.65,7.67,20.58,23.23,42.28,0.63,10.85,2.43,Alameda County
6001402800,41.721407297923598,77.660110943015596,75-80%,4480,5.58,75.27,19.15,6.27,28.19,38.08,0.58,18.57,8.3,Alameda County
6001402900,36.393323595293403,69.7428139183056,65-70%,1406,0.43,71.41,28.17,17.64,21.55,17.14,0.21,37.55,5.9,Alameda County
6001403000,53.407987556582597,91.238023197176005,90-95%,2905,4.68,55.83,39.48,2.27,6.51,4.37,0.34,83.93,2.58,Alameda County
6001403100,35.959563431732803,69.099848714069594,65-70%,2101,5.19,82.67,12.14,13.04,27.84,17.66,0.29,38.41,2.76,Alameda County
6001403300,45.8802101465917,83.055975794251097,80-85%,4178,3.52,75.78,20.7,6.03,26.16,7.47,2.39,52.23,5.72,Alameda County
6001403400,29.434636677390401,57.6651538073626,55-60%,4340,4.26,74.65,21.08,8.18,39.54,19.15,0.44,26.8,5.9,Alameda County
6001403501,25.309847204491,49.483106404437699,45-50%,4492,7.59,74.93,17.48,12.27,37.47,23.89,0.53,19.46,6.39,Alameda County
6001403502,19.873957228842698,37.216338880484102,35-40%,2044,3.38,83.46,13.16,11.94,42.03,25.44,0,11.11,9.49,Alameda County
6001403600,25.5834079783193,50.050428643469502,50-55%,5570,9.41,80.48,10.11,13.91,29.34,41.24,0.23,9.37,5.91,Alameda County
6001403701,14.0959869740038,23.2854261220373,20-25%,2968,4.14,77.29,18.56,12.2,43.03,26.75,0,12.6,5.42,Alameda County
6001403702,14.9815736728885,25.529500756429702,25-30%,1930,5.54,77.67,16.79,9.79,51.92,15.03,0,17.67,5.6,Alameda County
6001403800,11.719295052515999,17.133131618759499,15-20%,3351,7.67,78.96,13.37,3.58,67.74,12.98,0,11.82,3.88,Alameda County
6001403900,16.0022555858313,27.824004034291502,25-30%,4051,6.74,77.09,16.17,7.43,57.29,13.55,0.22,16.17,5.33,Alameda County
6001404000,8.8918537295234295,10.463943519919299,10-15%,2895,5.94,82.28,11.78,16.41,55.2,7.25,1,12.64,7.5,Alameda County
6001404101,9.3454344263404803,11.283408976298499,10-15%,3017,3.81,79.52,16.67,7.03,62.18,7.86,0.36,12.6,9.98,Alameda County
6001404102,12.9225382372005,20.347957639939501,20-25%,2653,4.98,62.16,32.87,9.88,66.49,4.71,1.36,12.77,4.79,Alameda County
6001404200,7.3040199963238397,7.3373676248108897,5-10%,3877,13.95,68.22,17.82,5.6,61.75,6.32,0.21,19.83,6.29,Alameda County
6001404300,3.8238303000423999,1.23550176500252,1-5% (lowest scores),3443,13.19,66.8,20.01,12,65.29,1.66,0,13.56,7.49,Alameda County
6001404400,4.5707042783402398,2.3575390821986901,1-5% (lowest scores),5628,10.41,70.52,19.07,5.31,67,2.33,0.32,12.95,12.08,Alameda County
6001404501,4.58855719854418,2.3827534039334299,1-5% (lowest scores),1809,14.7,64.29,21.01,6.69,66.39,6.74,0,12.05,8.13,Alameda County
6001404502,6.27049552233904,5.2824004034291496,5-10%,5891,15.02,67.24,17.74,7.62,75.51,1.14,0,10.19,5.55,Alameda County
6001404600,4.6948019323266701,2.5214321734745302,1-5% (lowest scores),4625,9.84,65.92,24.24,4.82,69.69,3.85,0.17,15.35,6.12,Alameda County
6001404700,4.7030039874747702,2.5340393343419101,1-5% (lowest scores),2137,13.29,67.52,19.19,9.45,69.58,5.99,0,11.65,3.32,Alameda County
6001404800,14.331249691890299,23.877962682803801,20-25%,2647,8.16,75.82,16.02,14.43,49.38,15.98,0.42,11.07,8.73,Alameda County
6001404900,15.338175132093999,26.298537569339398,25-30%,4197,13.53,66.9,19.56,11.84,56.09,9.6,0.67,16.11,5.69,Alameda County
6001405000,7.42003472421115,7.4886535552193596,5-10%,3394,12.93,67.21,19.86,7.4,61.58,11.73,0,10.99,8.31,Alameda County
6001405100,6.2775708587283203,5.2950075642965198,5-10%,4285,11.23,67.82,20.96,3.43,65.02,13.56,0,10.15,7.84,Alameda County
6001405200,21.9713833712207,42.095310136157302,40-45%,5183,7.1,78.45,14.45,15.84,38.26,8.99,0.29,32.03,4.59,Alameda County
6001405301,21.689911692544602,41.502773575390798,40-45%,2954,8.56,79.49,11.95,18.28,52.64,11.48,0,10.73,6.87,Alameda County
6001405302,30.210842211936299,59.114977307110401,55-60%,2373,5.82,75.94,18.25,8.09,30.76,12.81,0.34,42.31,5.69,Alameda County
6001405401,33.363600145440202,64.687342410489194,60-65%,3648,8.77,79.96,11.27,22.59,20.53,16.23,0,35.01,5.65,Alameda County
6001405402,36.470363196215203,69.8310640443772,65-70%,3357,11.77,80.91,7.33,21.06,17.25,25.8,0.24,30.98,4.68,Alameda County
6001405500,28.3477541619969,55.559757942511297,55-60%,3880,9.33,76.13,14.54,9.28,21.42,22.42,0.7,42.53,3.66,Alameda County
6001405600,24.823447344384199,48.361069087241603,45-50%,3269,7.46,82.56,9.97,24.23,26.49,17.99,2.23,22.24,6.82,Alameda County
6001405700,30.127613102824998,58.988905698436703,55-60%,3531,6.8,84.62,8.58,13.65,14.39,21.16,0.48,46.02,4.3,Alameda County
6001405800,28.8015886177825,56.555723651033802,55-60%,4370,11.33,77.46,11.21,17.05,15.01,21.6,1.3,43.38,1.65,Alameda County
6001405901,39.679461046160199,74.457892082702998,70-75%,4426,15.02,75.98,8.99,41.3,3.68,14.19,1.06,37.4,2.37,Alameda County
6001405902,41.254628263353297,77.0045385779123,75-80%,2942,10.27,76.44,13.29,25.12,8.77,11.96,0.48,49.39,4.28,Alameda County
6001406000,50.199366313017201,88.086232980332795,85-90%,3796,5.45,80.01,14.54,23.6,18.49,13.83,0,41.97,2.11,Alameda County
6001406100,56.864842468315203,93.847705496722099,90-95%,4733,10.61,77.94,11.45,57.24,14.85,8.92,0,18,0.99,Alameda County
6001406201,45.573005791501402,82.677760968229904,80-85%,4995,15.98,77.88,6.15,41.46,5.29,21.14,0.16,28.87,3.08,Alameda County
6001406202,42.011077415838599,78.088754412506304,75-80%,4817,15.8,74.82,9.38,59.89,9.51,14.2,2.1,12.52,1.79,Alameda County
6001406300,31.1076864258028,60.867372667675198,60-65%,4383,15.08,76.75,8.17,33.77,12.62,26.49,0.43,24.21,2.49,Alameda County
6001406400,30.249034379371199,59.178013111447299,55-60%,2545,13.95,63.85,22.2,21.45,31.47,20.67,0.2,19.61,6.6,Alameda County
6001406500,36.3672539486858,69.704992435703502,65-70%,6586,13.45,77.24,9.31,50.47,11.69,16.47,0,16.82,4.54,Alameda County
6001406601,27.025604202077201,53.088754412506297,50-55%,4955,13.3,76.83,9.87,35.6,14.89,20.02,0.16,21.98,7.35,Alameda County
6001406602,26.0620963985128,51.071608673726701,50-55%,2698,12.12,75.76,12.12,28.28,12.6,16.42,1.56,36.25,4.89,Alameda County
6001406700,10.2219213210325,13.5400907715582,10-15%,5159,9.79,67.59,22.62,13.82,45.13,14.5,0.66,20.53,5.37,Alameda County
6001406800,13.003307317658001,20.537065052950101,20-25%,3611,14.07,68.85,17.09,25.31,33.12,11.16,0.44,21.07,8.89,Alameda County
6001406900,20.4808778865923,38.716591023701497,35-40%,3608,11.83,70.57,17.6,10.2,47.03,18.57,0.42,16.77,7.01,Alameda County
6001407000,29.701822756143699,58.144225920322697,55-60%,5869,12.57,73.33,14.09,29.95,13.12,21.03,1.16,24.76,9.98,Alameda County
6001407101,30.246648263585499,59.165405950579903,55-60%,3821,14.81,75.61,9.58,54.23,4.92,13.98,0.21,25.02,1.65,Alameda County
6001407102,35.418049637290402,68.267776096822999,65-70%,4387,17.39,72.83,9.78,44.54,9.92,26.05,0.39,13.93,5.17,Alameda County
6001407200,48.456479635247597,86.106908724155304,85-90%,6985,11.71,79.3,8.99,64.98,9.55,8.45,0.21,13.9,2.91,Alameda County
6001407300,65.033685132920596,97.844175491679295,95-100% (highest scores),2420,6.28,87.48,6.24,63.72,11.82,10.99,0.12,10.25,3.1,Alameda County
6001407400,45.376110372550102,82.362581946545603,80-85%,4531,16.29,75.86,7.86,70.12,1.77,18.16,0,7.46,2.49,Alameda County
6001407500,45.449954980702501,82.501260716086705,80-85%,4299,13.63,77.62,8.75,55.04,4.16,29.01,0.09,6.59,5.12,Alameda County
6001407600,31.100594894363599,60.8295511850731,60-65%,6327,11.27,80.09,8.65,32.01,16.75,39.07,0,8.31,3.86,Alameda County
6001407700,15.736860960997699,27.218860312657601,25-30%,4122,11.67,71.98,16.35,16.21,30.01,42.94,0,5.41,5.43,Alameda County
6001407800,17.9570699354827,32.589510842158298,30-35%,2728,9.68,79.44,10.89,19.83,31.16,23.64,0,20.27,5.1,Alameda County
6001407900,14.339143367843199,23.915784165405999,20-25%,2873,16.92,66.79,16.29,8.39,49.7,18.45,0,15.63,7.83,Alameda County
6001408000,4.80243054650132,2.7357539082198699,1-5% (lowest scores),2700,6.19,74.04,19.78,12.48,54.67,9.26,0.44,18.55,4.59,Alameda County
6001408100,13.605878025371201,21.986888552697899,20-25%,6320,8.53,68.66,22.82,10.06,40.05,23.83,0,20.36,5.7,Alameda County
6001408200,23.292345298242498,45.1210287443268,45-50%,4570,9.34,79.43,11.23,15.6,18.25,51.42,0.77,5.87,8.1,Alameda County
6001408300,31.3920344243448,61.308623298033297,60-65%,5047,11.55,77.43,11.02,21.93,22.51,37.19,0.12,12.88,5.37,Alameda County
6001408400,27.6341962637172,54.160363086232998,50-55%,3201,12.4,78.01,9.59,37.8,7.44,50.3,0,1.87,2.59,Alameda County
6001408500,32.683146003064202,63.565305093292999,60-65%,5977,20.28,72.66,7.06,53.61,2.41,36.82,0.02,4.1,3.05,Alameda County
6001408600,34.611296557583898,66.944024205748903,65-70%,7096,21.1,70.45,8.46,52.35,3.31,35.19,0.27,4.26,4.62,Alameda County
6001408700,33.1655007761427,64.384770549672197,60-65%,7909,14.49,73.23,12.28,45.08,8.38,41.88,0,2.29,2.38,Alameda County
6001408800,61.006902044077997,96.243066061522896,95-100% (highest scores),7149,20.74,70.26,8.99,46.64,5.41,38.02,0,9.36,0.57,Alameda County
6001408900,52.206242949482601,90.267271810388294,90-95%,3546,16.02,75.21,8.77,65.93,4.94,21.4,0,5.56,2.17,Alameda County
6001409000,63.172580841571801,97.175995965708495,95-100% (highest scores),4687,18.33,72.97,8.7,53.53,2.01,34.95,0,4.85,4.67,Alameda County
6001409100,57.1434712167136,93.998991427130605,90-95%,2490,13.82,77.67,8.51,59.24,1.97,27.87,0.72,4.38,5.82,Alameda County
6001409200,46.203256344402199,83.484619263741806,80-85%,3672,12.25,80.17,7.57,57.03,2.53,30.96,0,6.54,2.94,Alameda County
6001409300,36.5895500655446,70.0075642965204,70-75%,5303,17.01,72.94,10.05,65.17,4.79,24.61,0,3.3,2.13,Alameda County
6001409400,50.367496574042001,88.287947554210803,85-90%,4780,17.3,76.21,6.49,69.6,4.52,15.23,0,9.58,1.07,Alameda County
6001409500,53.649095003166103,91.414523449319205,90-95%,4128,18.1,73.69,8.21,64.87,4.19,25,0.12,3.68,2.13,Alameda County
6001409600,32.304378590370902,62.922339889057,60-65%,4978,13.46,78.75,7.79,57.01,3.19,32.6,0.22,5.4,1.57,Alameda County
6001409700,21.769053581896099,41.679273827533997,40-45%,4991,16.83,76,7.17,57.7,3.55,32.02,0,2.22,4.51,Alameda County
6001409800,30.411119764060999,59.505799293998997,55-60%,3516,10.49,74.8,14.7,12.51,20.39,55.29,0.28,4.27,7.25,Alameda County
6001409900,23.0730127195154,44.704992435703502,40-45%,3642,12.05,65.95,21.99,8.1,28.72,47.09,0,7.28,8.81,Alameda County
6001410000,25.1187873226419,48.966212808875397,45-50%,3242,10.83,64.47,24.71,9.25,28.84,40.13,0.25,5.76,15.76,Alameda County
6001410100,31.166086082225402,60.993444276349003,60-65%,2667,13.69,73.23,13.09,17.55,12.37,55.46,0,5.36,9.26,Alameda County
6001410200,26.953461457071199,52.924861321230502,50-55%,3630,13.22,76.14,10.63,35.23,1.46,55.1,0.85,5.24,2.12,Alameda County
6001410300,28.6184196069532,56.164901664145198,55-60%,3857,16.75,77.39,5.86,65.52,2.15,24.86,0.47,4.46,2.54,Alameda County
6001410400,28.061587673819499,55.131114473020702,55-60%,4477,11.32,77.06,11.61,47.71,6.39,33.62,0.27,10.1,1.92,Alameda County
6001410500,53.081641014831398,90.935451336359094,90-95%,2705,16.67,75.6,7.73,9.83,14.9,61.07,0.26,11.76,2.18,Alameda County
6001420100,6.5214898483369002,5.7992939989914296,5-10%,2440,11.6,74.39,14.02,7.87,61.72,0.45,0.41,20.98,8.57,Alameda County
6001420200,10.870776179867701,15.1790216843167,15-20%,3332,12.12,75.24,12.64,12.06,35.5,5.58,0.54,38.39,7.92,Alameda County
6001420300,16.072620811936702,28.076147251638901,25-30%,4977,13.58,74.06,12.36,15.69,29.78,3.94,1.21,40.96,8.42,Alameda County
6001420400,23.880967203812698,46.444780635400903,45-50%,3062,22.53,76.06,1.4,29.78,31.71,1.21,0.36,30.96,5.98,Alameda County
6001420500,21.6856125233721,41.4901664145235,40-45%,2557,13.34,74.03,12.63,11.18,51.15,5.4,1.06,21.12,10.09,Alameda County
6001420600,3.81495689128643,1.2102874432677799,1-5% (lowest scores),3436,10.71,70.95,18.34,11.64,66.44,0.35,0,15.16,6.4,Alameda County
6001421100,3.2819353323762801,0.85728693898134101,1-5% (lowest scores),2084,8.45,58.25,33.3,5.9,78.36,1.73,0,11.04,2.98,Alameda County
6001421200,3.4129612015216102,0.98335854765506803,1-5% (lowest scores),3594,10.55,56.54,32.92,4.12,72.87,1.34,0.11,10.13,11.44,Alameda County
6001421300,4.0828248547569297,1.68935955622794,1-5% (lowest scores),3873,10.92,59.7,29.38,3.67,78.65,1.5,0,8.99,7.2,Alameda County
6001421400,5.3712107870073096,3.6560766515380698,1-5% (lowest scores),1634,8.2,60.47,31.33,6.43,73.38,1.84,0.43,12.6,5.32,Alameda County
6001421500,4.3241244591244401,2.0675743822491199,1-5% (lowest scores),3694,8.07,65.32,26.61,4.74,77.77,2.57,0,12.05,2.87,Alameda County
6001421600,1.5683285994420799,7.5642965204235996E-2,1-5% (lowest scores),3617,10.64,62.76,26.6,3.98,73.49,3.1,0,13.43,6,Alameda County
6001421700,10.8480794838117,15.1285930408472,15-20%,3492,9.05,71.88,19.07,9.25,68.24,0.66,0.14,18.07,3.64,Alameda County
6001421800,9.6077609197631197,11.951588502269299,10-15%,2144,7.6,70.71,21.69,3.03,74.77,1.45,0.05,13.99,6.72,Alameda County
6001421900,15.883094938906,27.534039334341902,25-30%,4171,12.68,70.18,17.14,10.67,56.22,5.35,0,17.94,9.83,Alameda County
6001422000,34.157355503521003,66.1749873928391,65-70%,2156,11.64,78.06,10.3,6.86,64.33,10.85,0,8.16,9.79,Alameda County
6001422100,27.313830845186299,53.605648008068599,50-55%,3073,8.07,79.11,12.82,20.89,47.02,12.82,0.81,12.2,6.25,Alameda County
6001422200,25.0242216790101,48.777105395864901,45-50%,3237,8.68,75.84,15.48,16.34,52.95,5.28,0,15.79,9.64,Alameda County
6001422300,17.642258372532702,31.933938477055001,30-35%,3643,9.36,74.33,16.31,8.81,60.17,2.88,0.16,21.36,6.62,Alameda County
6001422400,14.902022361261199,25.2773575390822,25-30%,4487,4.26,85.02,10.72,13.73,42.03,1.25,0,37.69,5.3,Alameda County
6001422500,14.157047273287001,23.436712052445799,20-25%,4400,4.07,88.41,7.52,9.89,47.34,2.86,0.23,33.95,5.73,Alameda County
6001422600,NA,NA,NA,1043,0,99.23,0.77,12.37,38.64,3.07,0,44.01,1.92,Alameda County
6001422700,15.0678849064108,25.718608169440198,25-30%,5266,0.42,97.04,2.54,16.56,45.4,2.39,0.89,29.36,5.39,Alameda County
6001422800,16.0517244430287,27.987897125567301,25-30%,9064,0,99.13,0.87,16.14,28.46,4.21,0.14,45.65,5.38,Alameda County
6001422900,19.1806352446708,35.602622289460399,35-40%,5761,0.47,93.42,6.11,5.26,33.97,11.99,0,44.73,4.04,Alameda County
6001423000,23.681114204859799,45.814422592032301,45-50%,4962,8.42,78.23,13.34,12.03,53.39,4.86,0.1,24.87,4.76,Alameda County
6001423100,29.8203504549979,58.3333333333333,55-60%,4413,8.52,76.52,14.96,12.92,49.6,16.61,0,15.11,5.76,Alameda County
6001423200,39.8093230847754,74.684820978315699,70-75%,2982,10.19,82.46,7.34,27.2,30.58,22.43,0,10.73,9.05,Alameda County
6001423300,31.601020528391999,61.623802319717598,60-65%,3504,14.04,67.52,18.44,12.56,44.41,25.49,0.09,9.5,7.96,Alameda County
6001423400,22.314217859902801,42.776096822995498,40-45%,5163,6.41,82.36,11.23,14.8,49.35,13.73,0,12.18,9.94,Alameda County
6001423500,15.4276251298008,26.487644982350002,25-30%,3426,10.25,70.17,19.59,14.21,47.52,20.2,0,13.72,4.35,Alameda County
6001423601,10.496357266932501,14.094805849722601,10-15%,2671,5.39,75.7,18.91,8.72,70.35,5.17,0.64,9.21,5.92,Alameda County
6001423602,14.237961907196899,23.6510337871911,20-25%,6528,1.32,93.15,5.53,8.75,47.29,1.29,1.52,35.78,5.38,Alameda County
6001423700,7.26693727695001,7.2239031770045399,5-10%,4148,3.47,82.09,14.44,10.56,61.4,2.29,0.14,20.39,5.21,Alameda County
6001423800,4.7306818016441801,2.5844679778113999,1-5% (lowest scores),2986,7.27,62.86,29.87,6.36,79.44,2.38,0,7.07,4.76,Alameda County
6001423901,18.829860080251699,34.808371154815902,30-35%,2054,5.01,82.91,12.07,13.92,62.76,10.66,0.34,9.1,3.21,Alameda County
6001423902,11.021944013011201,15.544629349470499,15-20%,1605,9.41,73.52,17.07,5.98,70.72,2.93,0,15.45,4.92,Alameda County
6001424001,25.175440562527399,49.1301059001513,45-50%,4027,10.31,80.08,9.61,16.29,46.83,22.15,0.32,8.64,5.76,Alameda County
6001424002,32.135682155158101,62.644982349974804,60-65%,2583,12.93,75.03,12.04,22.69,27.37,33.6,0.54,10.34,5.46,Alameda County
6001425101,31.460928818501799,61.396873424104903,60-65%,1659,1.15,69.74,29.11,5.85,58.41,3.5,0.3,25.74,6.21,Alameda County
6001425102,26.685430274650201,52.420574886535597,50-55%,3906,6.99,86.43,6.58,8.99,34.02,8.32,0.2,41.78,6.68,Alameda County
6001425103,23.053288217164202,44.6293494704992,40-45%,2795,4.69,89.37,5.94,7.48,43.61,15.31,0.07,26.33,7.19,Alameda County
6001425104,28.531906453543002,55.9505799293999,55-60%,3539,7.8,74.65,17.55,13.62,36.08,26.59,0,18.46,5.26,Alameda County
6001426100,2.4772436381926699,0.44125063035804302,1-5% (lowest scores),6521,9.39,68.06,22.56,2.05,73.35,0.69,0,19.9,4,Alameda County
6001426200,10.657841391362201,14.548663640948099,10-15%,4796,10.49,69.47,20.04,7.01,67.6,2.29,0.08,15.2,7.82,Alameda County
6001427100,16.6560252275235,29.513363590519401,25-30%,3975,9.71,69.99,20.3,16.1,64.15,1.38,0.48,14.46,3.42,Alameda County
6001427200,34.057655628821102,65.9102370146243,65-70%,4180,11.34,73.09,15.57,16.79,40.05,2.92,0.29,35.9,4.04,Alameda County
6001427300,31.741878454895598,61.926374180534602,60-65%,5346,13.73,67.15,19.12,10.87,37.34,7.22,0.41,38.29,5.87,Alameda County
6001427600,36.080026085953598,69.276348966212794,65-70%,5200,14.27,77.77,7.96,10.27,28.52,18.75,0.08,35.48,6.9,Alameda County
6001427700,20.4797308523246,38.691376701966703,35-40%,5201,8.09,76.5,15.4,17.71,48.45,9.44,0.04,17.88,6.48,Alameda County
6001427800,17.640023624601898,31.921331316187601,30-35%,4954,10.56,74.38,15.06,9.87,53.88,4.76,0.12,21.7,9.67,Alameda County
6001427900,17.806396240448301,32.249117498739302,30-35%,5052,9.2,78.88,11.92,14.25,48.14,4.59,0.67,28.35,4,Alameda County
6001428000,28.5408339509383,55.975794251134602,55-60%,2877,7.4,79.91,12.69,23.39,36.29,5.32,0.1,27.15,7.75,Alameda County
6001428100,17.287897737062501,31.051437216338901,30-35%,4839,10.93,73.86,15.21,11.57,52.76,6.51,0,22.36,6.8,Alameda County
6001428200,17.9846602911981,32.728189611699399,30-35%,6606,11.87,69.63,18.5,12.82,51.79,6.27,0,21.57,7.55,Alameda County
6001428301,11.804520349823299,17.32223903177,15-20%,7277,12.37,73.29,14.35,10.6,31.66,4.64,0.3,44.34,8.45,Alameda County
6001428302,10.968353291681399,15.3807362581947,15-20%,7424,12.96,66.69,20.35,6.45,41.69,2.61,0,42.9,6.34,Alameda County
6001428400,15.5712355783517,26.853252647503801,25-30%,4568,12.92,71.54,15.54,17.56,39.71,10.75,0.46,25.35,6.17,Alameda County
6001428500,14.7193568590077,24.836106908724201,20-25%,3097,10.91,72.36,16.73,12.82,41.14,7.94,1,27.58,9.53,Alameda County
6001428600,14.9011171561504,25.264750378214799,25-30%,3454,11.87,64.01,24.12,6.02,42.96,7.35,0.26,34.22,9.18,Alameda County
6001428700,41.601404473523097,77.471003530005007,75-80%,4472,17.62,73.95,8.43,16.26,27.42,16.82,0.42,32.67,6.42,Alameda County
6001430101,13.969586080978999,22.919818456883501,20-25%,6842,12.41,70.29,17.3,9.37,28.95,6.45,0.15,50.89,4.19,Alameda County
6001430102,2.0196789428681798,0.25214321734745299,1-5% (lowest scores),2424,9.28,69.18,21.53,12.29,57.84,1.69,0,20.05,8.13,Alameda County
6001430200,6.5464113190506996,5.8749369641956601,5-10%,6878,13.13,68.17,18.7,9.46,56.47,4.71,0.89,23.85,4.61,Alameda County
6001430300,8.0284593150202408,8.5602622289460406,5-10%,3826,12.28,69.58,18.14,13.12,55.85,1.12,0,25.64,4.26,Alameda County
6001430400,6.7801928606504198,6.3035804336863297,5-10%,2107,10.82,69.72,19.46,11.72,58.99,1.52,0,22.5,5.27,Alameda County
6001430500,28.7981520271208,56.543116490166398,55-60%,5987,13.23,74.58,12.19,19.22,29.33,24.85,0.77,21.92,3.91,Alameda County
6001430600,13.694003543356899,22.239031770045401,20-25%,6486,10.96,66.05,22.99,12.78,46.15,7.49,0.49,28.11,4.98,Alameda County
6001430700,10.8343574728296,15.065557236510299,15-20%,4170,14.22,73.07,12.71,15.8,50.14,4.87,0.43,21.1,7.65,Alameda County
6001430800,28.316684328049799,55.496722138174498,55-60%,5282,11.42,71.39,17.19,7.5,57.08,1.53,0.89,29.07,3.94,Alameda County
6001430900,27.660694384689101,54.223398890569797,50-55%,5309,17.07,68.56,14.37,21,42.12,9.68,0.85,19.13,7.21,Alameda County
6001431000,34.261192764405003,66.313666162380201,65-70%,2777,16.02,73.14,10.84,19.45,36.51,5.69,0.72,30.75,6.88,Alameda County
6001431100,19.729951071492501,36.825516893595598,35-40%,3561,11.99,78.66,9.35,30.36,31.9,17.05,0.14,13.09,7.47,Alameda County
6001431200,19.5454094055704,36.308623298033297,35-40%,5574,9.99,71.33,18.68,23.32,46.39,10.64,0,13.94,5.71,Alameda County
6001432100,21.680423624722199,41.477559253656104,40-45%,3574,9.57,72.02,18.41,17.8,45.13,11.56,0,20.39,5.12,Alameda County
6001432200,21.162899016835699,40.317700453857803,40-45%,4078,9.51,70.75,19.74,24.23,34.58,22.09,0.37,12.88,5.86,Alameda County
6001432300,27.486214587709899,53.9208270297529,50-55%,4744,8.87,80.73,10.39,33.05,19.08,11.42,0.34,30.06,6.05,Alameda County
6001432400,49.040534257969298,86.775088250126103,85-90%,7003,12.17,77.17,10.67,42.12,16.99,6.64,0,31.62,2.63,Alameda County
6001432501,49.487705092459301,87.355017650025204,85-90%,4854,10.24,75.44,14.32,29.77,16.98,7.29,0.12,42.3,3.54,Alameda County
6001432502,34.399399722690802,66.515380736258194,65-70%,5178,11.9,78.2,9.91,29.7,13.81,13.25,0.06,40.77,2.41,Alameda County
6001432600,36.290851277328699,69.541099344427593,65-70%,7043,10.32,73.26,16.41,30.34,25.43,14.62,0.7,25.64,3.27,Alameda County
6001432700,25.688708717373,50.302571860816897,50-55%,2816,7.88,74.68,17.44,25.82,44,5.97,0.43,17.23,6.57,Alameda County
6001432800,19.890039263858,37.241553202218903,35-40%,3979,10.4,63.23,26.36,21.36,29.35,10.35,0.15,33.73,5.05,Alameda County
6001433000,30.765778206594401,60.199193141704498,60-65%,3654,9.8,72.14,18.06,20.61,30.02,5.88,0.08,40.23,3.17,Alameda County
6001433102,27.374549226855201,53.706505295007602,50-55%,4485,13.11,71.24,15.65,36.16,11.17,8.63,0.11,41.34,2.59,Alameda County
