County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
09 - El Dorado,2014-02-14T00:00:00,In Review,"$11,410,240.00 ",6,Greater Sacramento Counties
09 - El Dorado,2014-02-14T00:00:00,Pending Construction,"$12,500.00 ",1,Greater Sacramento Counties
09 - El Dorado,2014-02-14T00:00:00,In Construction,"$11,773,539.00 ",6,Greater Sacramento Counties
09 - El Dorado,2014-02-14T00:00:00,In Closure,"$24,129,130.00 ",4,Greater Sacramento Counties
10 - Fresno,2014-02-14T00:00:00,In Review,"$32,972,005.00 ",39,""
10 - Fresno,2014-02-14T00:00:00,Pending Construction,"$21,463,102.00 ",35,""
10 - Fresno,2014-02-14T00:00:00,In Construction,"$233,573,204.00 ",72,""
10 - Fresno,2014-02-14T00:00:00,In Closure,"$21,484,061.00 ",70,""
11 - Glenn,2014-02-14T00:00:00,In Review,"$12,962,075.00 ",2,""
11 - Glenn,2014-02-14T00:00:00,Pending Construction,0,0,""
11 - Glenn,2014-02-14T00:00:00,In Construction,"$224,685.00 ",1,""
11 - Glenn,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
12 - Humboldt,2014-02-14T00:00:00,In Review,"$8,685,000.00 ",10,""
12 - Humboldt,2014-02-14T00:00:00,Pending Construction,"$1,390,000.00 ",4,""
12 - Humboldt,2014-02-14T00:00:00,In Construction,"$88,022,643.00 ",12,""
12 - Humboldt,2014-02-14T00:00:00,In Closure,"$1,176,154.00 ",9,""
13 - Imperial,2014-02-14T00:00:00,In Review,"$25,535,000.00 ",3,""
13 - Imperial,2014-02-14T00:00:00,Pending Construction,"$95,000.00 ",3,""
13 - Imperial,2014-02-14T00:00:00,In Construction,"$108,000.00 ",2,""
13 - Imperial,2014-02-14T00:00:00,In Closure,"$513,076.00 ",3,""
14 - Inyo,2014-02-14T00:00:00,In Review,"$42,660.00 ",1,""
14 - Inyo,2014-02-14T00:00:00,Pending Construction,$250.00 ,1,""
14 - Inyo,2014-02-14T00:00:00,In Construction,"$9,300.00 ",2,""
14 - Inyo,2014-02-14T00:00:00,In Closure,"$543,587.00 ",2,""
15 - Kern,2014-02-14T00:00:00,In Review,"$6,957,226.00 ",27,""
15 - Kern,2014-02-14T00:00:00,Pending Construction,"$1,358,704.00 ",13,""
15 - Kern,2014-02-14T00:00:00,In Construction,"$73,657,968.00 ",37,""
15 - Kern,2014-02-14T00:00:00,In Closure,"$15,847,875.00 ",17,""
16 - Kings,2014-02-14T00:00:00,In Review,"$425,000.00 ",5,""
16 - Kings,2014-02-14T00:00:00,Pending Construction,"$28,280,000.00 ",8,""
16 - Kings,2014-02-14T00:00:00,In Construction,"$328,722.00 ",7,""
16 - Kings,2014-02-14T00:00:00,In Closure,"$435,436.00 ",4,""
17 - Lake,2014-02-14T00:00:00,In Review,"$1,876,000.00 ",6,""
17 - Lake,2014-02-14T00:00:00,Pending Construction,$0.00 ,0,""
17 - Lake,2014-02-14T00:00:00,In Construction,"$5,747,340.00 ",14,""
17 - Lake,2014-02-14T00:00:00,In Closure,"$94,641.00 ",6,""
18 - Lassen,2014-02-14T00:00:00,In Review,"$935,870.00 ",2,""
18 - Lassen,2014-02-14T00:00:00,Pending Construction,"$145,120.00 ",1,""
18 - Lassen,2014-02-14T00:00:00,In Construction,"$1,165,643.00 ",9,""
18 - Lassen,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
19 - Los Angeles,2014-02-14T00:00:00,In Review,"$520,655,016.00 ",458,Greater Los Angeles Counties
19 - Los Angeles,2014-02-14T00:00:00,Pending Construction,"$254,818,043.00 ",516,Greater Los Angeles Counties
19 - Los Angeles,2014-02-14T00:00:00,In Construction,"$2,080,212,108.00 ",837,Greater Los Angeles Counties
19 - Los Angeles,2014-02-14T00:00:00,In Closure,"$772,997,398.00 ",770,Greater Los Angeles Counties
20 - Madera,2014-02-14T00:00:00,In Review,"$170,000.00 ",3,""
20 - Madera,2014-02-14T00:00:00,Pending Construction,"$825,635.00 ",5,""
20 - Madera,2014-02-14T00:00:00,In Construction,"$5,132,776.00 ",16,""
20 - Madera,2014-02-14T00:00:00,In Closure,"$15,133,060.00 ",15,""
21 - Marin,2014-02-14T00:00:00,In Review,"$5,758,918.00 ",15,Bay Area Counties
21 - Marin,2014-02-14T00:00:00,Pending Construction,"$1,883,200.00 ",7,Bay Area Counties
21 - Marin,2014-02-14T00:00:00,In Construction,"$24,295,967.00 ",21,Bay Area Counties
21 - Marin,2014-02-14T00:00:00,In Closure,"$5,214,935.00 ",12,Bay Area Counties
22 - Mariposa,2014-02-14T00:00:00,In Review,"$180,000.00 ",1,""
22 - Mariposa,2014-02-14T00:00:00,Pending Construction,$0.00 ,0,""
22 - Mariposa,2014-02-14T00:00:00,In Construction,$0.00 ,0,""
22 - Mariposa,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
23 - Mendocino,2014-02-14T00:00:00,In Review,"$17,189,175.00 ",13,""
23 - Mendocino,2014-02-14T00:00:00,Pending Construction,"$1,062,000.00 ",5,""
23 - Mendocino,2014-02-14T00:00:00,In Construction,"$1,529,332.00 ",11,""
23 - Mendocino,2014-02-14T00:00:00,In Closure,"$37,741,045.00 ",7,""
24 - Merced,2014-02-14T00:00:00,In Review,"$233,600.00 ",4,""
24 - Merced,2014-02-14T00:00:00,Pending Construction,"$277,360.00 ",4,""
24 - Merced,2014-02-14T00:00:00,In Construction,"$13,094,410.00 ",5,""
24 - Merced,2014-02-14T00:00:00,In Closure,"$282,518.00 ",5,""
25 - Modoc,2014-02-14T00:00:00,In Review,$0.00 ,0,""
25 - Modoc,2014-02-14T00:00:00,Pending Construction,"$12,500.00 ",1,""
25 - Modoc,2014-02-14T00:00:00,In Construction,$0.00 ,0,""
25 - Modoc,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
26 - Mono,2014-02-14T00:00:00,In Review,"$190,794.00 ",2,""
26 - Mono,2014-02-14T00:00:00,Pending Construction,0,0,""
26 - Mono,2014-02-14T00:00:00,In Construction,"$22,398.00 ",4,""
26 - Mono,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
27 - Monterey,2014-02-14T00:00:00,In Review,"$2,013,490.00 ",11,""
27 - Monterey,2014-02-14T00:00:00,Pending Construction,"$1,219,876.00 ",6,""
27 - Monterey,2014-02-14T00:00:00,In Construction,"$39,884,209.00 ",19,""
27 - Monterey,2014-02-14T00:00:00,In Closure,"$2,082,105.00 ",10,""
28 - Napa,2014-02-14T00:00:00,In Review,"$1,346,950.00 ",7,Bay Area Counties
28 - Napa,2014-02-14T00:00:00,Pending Construction,"$819,014.00 ",6,Bay Area Counties
28 - Napa,2014-02-14T00:00:00,In Construction,"$34,304,628.00 ",13,Bay Area Counties
28 - Napa,2014-02-14T00:00:00,In Closure,"$49,408,124.00 ",17,Bay Area Counties
29 - Nevada,2014-02-14T00:00:00,In Review,"$15,361,431.00 ",6,""
29 - Nevada,2014-02-14T00:00:00,Pending Construction,"$3,935,181.00 ",5,""
29 - Nevada,2014-02-14T00:00:00,In Construction,"$29,292,994.00 ",20,""
29 - Nevada,2014-02-14T00:00:00,In Closure,"$1,267,000.00 ",1,""
30 - Orange,2014-02-14T00:00:00,In Review,"$50,206,549.00 ",93,Greater Los Angeles Counties
30 - Orange,2014-02-14T00:00:00,Pending Construction,"$22,257,581.00 ",57,Greater Los Angeles Counties
30 - Orange,2014-02-14T00:00:00,In Construction,"$213,495,020.00 ",138,Greater Los Angeles Counties
30 - Orange,2014-02-14T00:00:00,In Closure,"$341,992,079.00 ",239,Greater Los Angeles Counties
31 - Placer,2014-02-14T00:00:00,In Review,"$12,274,929.00 ",17,Greater Sacramento Counties
31 - Placer,2014-02-14T00:00:00,Pending Construction,"$866,000.00 ",7,Greater Sacramento Counties
31 - Placer,2014-02-14T00:00:00,In Construction,"$16,903,309.00 ",17,Greater Sacramento Counties
31 - Placer,2014-02-14T00:00:00,In Closure,"$122,833,033.00 ",14,Greater Sacramento Counties
32 - Plumas,2014-02-14T00:00:00,In Review,"$51,487.00 ",3,""
32 - Plumas,2014-02-14T00:00:00,Pending Construction,"$83,000.00 ",2,""
32 - Plumas,2014-02-14T00:00:00,In Construction,"$85,900.00 ",2,""
32 - Plumas,2014-02-14T00:00:00,In Closure,0,0,""
33 - Riverside,2014-02-14T00:00:00,In Review,"$264,470,300.00 ",63,""
33 - Riverside,2014-02-14T00:00:00,Pending Construction,"$138,319,157.00 ",67,""
33 - Riverside,2014-02-14T00:00:00,In Construction,"$146,902,037.00 ",123,""
33 - Riverside,2014-02-14T00:00:00,In Closure,"$52,748,547.00 ",119,""
34 - Sacramento,2014-02-14T00:00:00,In Review,"$57,553,564.00 ",45,Greater Sacramento Counties
34 - Sacramento,2014-02-14T00:00:00,Pending Construction,"$92,988,193.00 ",37,Greater Sacramento Counties
34 - Sacramento,2014-02-14T00:00:00,In Construction,"$264,331,060.00 ",127,Greater Sacramento Counties
34 - Sacramento,2014-02-14T00:00:00,In Closure,"$113,490,627.00 ",51,Greater Sacramento Counties
35 - San Benito,2014-02-14T00:00:00,In Review,"$164,000.00 ",1,""
35 - San Benito,2014-02-14T00:00:00,Pending Construction,$0.00 ,0,""
35 - San Benito,2014-02-14T00:00:00,In Construction,"$14,231,955.00 ",4,""
35 - San Benito,2014-02-14T00:00:00,In Closure,"$252,000.00 ",2,""
36 - San Bernardino,2014-02-14T00:00:00,In Review,"$82,014,265.00 ",50,""
36 - San Bernardino,2014-02-14T00:00:00,Pending Construction,"$125,180,201.00 ",58,""
36 - San Bernardino,2014-02-14T00:00:00,In Construction,"$203,798,793.00 ",106,""
36 - San Bernardino,2014-02-14T00:00:00,In Closure,"$21,160,810.00 ",84,""
37 - San Diego,2014-02-14T00:00:00,In Review,"$213,154,118.00 ",108,""
37 - San Diego,2014-02-14T00:00:00,Pending Construction,"$327,383,989.00 ",117,""
37 - San Diego,2014-02-14T00:00:00,In Construction,"$840,413,980.00 ",224,""
37 - San Diego,2014-02-14T00:00:00,In Closure,"$419,503,022.00 ",245,""
38 - San Francisco,2014-02-14T00:00:00,In Review,"$1,573,556,580.00 ",65,Bay Area Counties
38 - San Francisco,2014-02-14T00:00:00,Pending Construction,"$358,949,439.00 ",66,Bay Area Counties
38 - San Francisco,2014-02-14T00:00:00,In Construction,"$1,170,575,627.00 ",114,Bay Area Counties
38 - San Francisco,2014-02-14T00:00:00,In Closure,"$445,150,896.00 ",100,Bay Area Counties
39 - San Joaquin,2014-02-14T00:00:00,In Review,"$3,762,310.00 ",19,""
39 - San Joaquin,2014-02-14T00:00:00,Pending Construction,"$91,619,025.00 ",31,""
39 - San Joaquin,2014-02-14T00:00:00,In Construction,"$22,551,897.00 ",47,""
39 - San Joaquin,2014-02-14T00:00:00,In Closure,"$21,302,933.00 ",21,""
40 - San Luis Obispo,2014-02-14T00:00:00,In Review,"$3,103,415.00 ",13,""
40 - San Luis Obispo,2014-02-14T00:00:00,Pending Construction,"$348,000.00 ",9,""
40 - San Luis Obispo,2014-02-14T00:00:00,In Construction,"$6,595,253.00 ",18,""
40 - San Luis Obispo,2014-02-14T00:00:00,In Closure,"$9,698,846.00 ",28,""
41 - San Mateo,2014-02-14T00:00:00,In Review,"$74,383,265.00 ",31,Bay Area Counties
41 - San Mateo,2014-02-14T00:00:00,Pending Construction,"$17,588,164.00 ",21,Bay Area Counties
41 - San Mateo,2014-02-14T00:00:00,In Construction,"$317,767,113.00 ",65,Bay Area Counties
41 - San Mateo,2014-02-14T00:00:00,In Closure,"$122,115,610.00 ",49,Bay Area Counties
42 - Santa Barbara,2014-02-14T00:00:00,In Review,"$9,407,347.00 ",13,""
42 - Santa Barbara,2014-02-14T00:00:00,Pending Construction,"$77,439,569.00 ",20,""
42 - Santa Barbara,2014-02-14T00:00:00,In Construction,"$301,513,847.00 ",45,""
42 - Santa Barbara,2014-02-14T00:00:00,In Closure,"$93,609,768.00 ",21,""
43 - Santa Clara,2014-02-14T00:00:00,In Review,"$722,396,828.00 ",82,Bay Area Counties
43 - Santa Clara,2014-02-14T00:00:00,Pending Construction,"$19,724,908.00 ",57,Bay Area Counties
43 - Santa Clara,2014-02-14T00:00:00,In Construction,"$965,279,051.00 ",141,Bay Area Counties
43 - Santa Clara,2014-02-14T00:00:00,In Closure,"$88,947,458.00 ",138,Bay Area Counties
44 - Santa Cruz,2014-02-14T00:00:00,In Review,"$2,790,229.00 ",8,""
44 - Santa Cruz,2014-02-14T00:00:00,Pending Construction,"$9,211,225.00 ",6,""
44 - Santa Cruz,2014-02-14T00:00:00,In Construction,"$3,136,433.00 ",19,""
44 - Santa Cruz,2014-02-14T00:00:00,In Closure,"$8,181,889.00 ",13,""
45 - Shasta,2014-02-14T00:00:00,In Review,"$23,242,545.00 ",11,""
45 - Shasta,2014-02-14T00:00:00,Pending Construction,"$1,736,187.00 ",15,""
45 - Shasta,2014-02-14T00:00:00,In Construction,"$7,078,708.00 ",24,""
45 - Shasta,2014-02-14T00:00:00,In Closure,"$9,052,127.00 ",6,""
46 - Sierra,2014-02-14T00:00:00,In Review,$0.00 ,0,""
46 - Sierra,2014-02-14T00:00:00,Pending Construction,$0.00 ,0,""
46 - Sierra,2014-02-14T00:00:00,In Construction,$0.00 ,0,""
46 - Sierra,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
47 - Siskiyou,2014-02-14T00:00:00,In Review,"$10,000.00 ",1,""
47 - Siskiyou,2014-02-14T00:00:00,Pending Construction,"$726,700.00 ",3,""
47 - Siskiyou,2014-02-14T00:00:00,In Construction,"$1,010,843.00 ",6,""
47 - Siskiyou,2014-02-14T00:00:00,In Closure,"$144,719.00 ",3,""
48 - Solano,2014-02-14T00:00:00,In Review,"$63,213,965.00 ",13,Bay Area Counties
48 - Solano,2014-02-14T00:00:00,Pending Construction,"$9,538,943.00 ",11,Bay Area Counties
48 - Solano,2014-02-14T00:00:00,In Construction,"$43,268,810.00 ",24,Bay Area Counties
48 - Solano,2014-02-14T00:00:00,In Closure,"$33,463,090.00 ",25,Bay Area Counties
49 - Sonoma,2014-02-14T00:00:00,In Review,"$3,665,566.00 ",13,Bay Area Counties
49 - Sonoma,2014-02-14T00:00:00,Pending Construction,"$2,231,100.00 ",16,Bay Area Counties
49 - Sonoma,2014-02-14T00:00:00,In Construction,"$136,374,364.00 ",45,Bay Area Counties
49 - Sonoma,2014-02-14T00:00:00,In Closure,"$50,862,060.00 ",23,Bay Area Counties
50 - Stanislaus,2014-02-14T00:00:00,In Review,"$24,222,554.00 ",19,""
50 - Stanislaus,2014-02-14T00:00:00,Pending Construction,"$3,122,035.00 ",22,""
50 - Stanislaus,2014-02-14T00:00:00,In Construction,"$14,641,121.00 ",37,""
50 - Stanislaus,2014-02-14T00:00:00,In Closure,"$84,390,851.00 ",35,""
51 - Sutter,2014-02-14T00:00:00,In Review,"$12,654,000.00 ",2,""
51 - Sutter,2014-02-14T00:00:00,Pending Construction,"$80,683.00 ",3,""
51 - Sutter,2014-02-14T00:00:00,In Construction,$0.00 ,0,""
51 - Sutter,2014-02-14T00:00:00,In Closure,"$24,350.00 ",2,""
52 - Tehama,2014-02-14T00:00:00,In Review,$0.00 ,0,""
52 - Tehama,2014-02-14T00:00:00,Pending Construction,"$764,500.00 ",7,""
52 - Tehama,2014-02-14T00:00:00,In Construction,"$1,820,752.00 ",5,""
52 - Tehama,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
53 - Trinity,2014-02-14T00:00:00,In Review,"$58,200.00 ",3,""
53 - Trinity,2014-02-14T00:00:00,Pending Construction,"$13,200.00 ",2,""
53 - Trinity,2014-02-14T00:00:00,In Construction,"$423,172.00 ",1,""
53 - Trinity,2014-02-14T00:00:00,In Closure,$0.00 ,0,""
54 - Tulare,2014-02-14T00:00:00,In Review,"$34,359,000.00 ",14,""
54 - Tulare,2014-02-14T00:00:00,Pending Construction,"$2,496,666.00 ",12,""
54 - Tulare,2014-02-14T00:00:00,In Construction,"$72,037,056.00 ",14,""
54 - Tulare,2014-02-14T00:00:00,In Closure,"$15,253,559.00 ",14,""
55 - Tuolumne,2014-02-14T00:00:00,In Review,"$125,500.00 ",2,""
55 - Tuolumne,2014-02-14T00:00:00,Pending Construction,"$812,100.00 ",4,""
55 - Tuolumne,2014-02-14T00:00:00,In Construction,"$79,500.00 ",2,""
55 - Tuolumne,2014-02-14T00:00:00,In Closure,"$1,476,354.00 ",12,""
56 - Ventura,2014-02-14T00:00:00,In Review,"$214,239,328.00 ",44,Greater Los Angeles Counties
56 - Ventura,2014-02-14T00:00:00,Pending Construction,"$32,552,698.00 ",41,Greater Los Angeles Counties
56 - Ventura,2014-02-14T00:00:00,In Construction,"$393,903,997.00 ",72,Greater Los Angeles Counties
56 - Ventura,2014-02-14T00:00:00,In Closure,"$27,332,160.00 ",48,Greater Los Angeles Counties
57 - Yolo,2014-02-14T00:00:00,In Review,"$2,521,382.00 ",6,Greater Sacramento Counties
57 - Yolo,2014-02-14T00:00:00,Pending Construction,"$686,371.00 ",5,Greater Sacramento Counties
57 - Yolo,2014-02-14T00:00:00,In Construction,"$683,757.00 ",6,Greater Sacramento Counties
57 - Yolo,2014-02-14T00:00:00,In Closure,"$1,256,255.00 ",5,Greater Sacramento Counties
58 - Yuba,2014-02-14T00:00:00,In Review,"$15,000.00 ",1,""
58 - Yuba,2014-02-14T00:00:00,Pending Construction,"$42,043,942.00 ",2,""
58 - Yuba,2014-02-14T00:00:00,In Construction,"$89,383,597.00 ",4,""
58 - Yuba,2014-02-14T00:00:00,In Closure,"$416,575.00 ",3,""
01 - Alameda,2014-03-03T00:00:00,In Review,"$41,524,943.00 ",40,Bay Area Counties
01 - Alameda,2014-03-03T00:00:00,Pending Construction,"$327,806,920.00 ",124,Bay Area Counties
01 - Alameda,2014-03-03T00:00:00,In Construction,"$1,348,622,019.00 ",194,Bay Area Counties
01 - Alameda,2014-03-03T00:00:00,In Closure,"$284,528,021.00 ",60,Bay Area Counties
02 - Alpine,2014-03-03T00:00:00,In Review,$0.00 ,0,""
02 - Alpine,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
02 - Alpine,2014-03-03T00:00:00,In Construction,$0.00 ,0,""
02 - Alpine,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
03 - Amador,2014-03-03T00:00:00,In Review,"$1,293,951.00 ",1,""
03 - Amador,2014-03-03T00:00:00,Pending Construction,"$316,858.00 ",1,""
03 - Amador,2014-03-03T00:00:00,In Construction,"$1,595,815.00 ",7,""
03 - Amador,2014-03-03T00:00:00,In Closure,"$244,780.00 ",2,""
04 - Butte,2014-03-03T00:00:00,In Review,"$9,158,555.00 ",11,""
04 - Butte,2014-03-03T00:00:00,Pending Construction,"$2,514,655.00 ",10,""
04 - Butte,2014-03-03T00:00:00,In Construction,"$90,587,132.00 ",17,""
04 - Butte,2014-03-03T00:00:00,In Closure,"$591,425.00 ",4,""
05 - Calaveras,2014-03-03T00:00:00,In Review,"$85,000.00 ",1,""
05 - Calaveras,2014-03-03T00:00:00,Pending Construction,"$96,500.00 ",3,""
05 - Calaveras,2014-03-03T00:00:00,In Construction,$0.00 ,0,""
05 - Calaveras,2014-03-03T00:00:00,In Closure,0,0,""
06 - Colusa,2014-03-03T00:00:00,In Review,"$55,472.00 ",2,""
06 - Colusa,2014-03-03T00:00:00,Pending Construction,"$25,000.00 ",1,""
06 - Colusa,2014-03-03T00:00:00,In Construction,"$1,951.00 ",1,""
06 - Colusa,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
07 - Contra Costa,2014-03-03T00:00:00,In Review,"$18,564,235.00 ",32,Bay Area Counties
07 - Contra Costa,2014-03-03T00:00:00,Pending Construction,"$23,422,940.00 ",48,Bay Area Counties
07 - Contra Costa,2014-03-03T00:00:00,In Construction,"$42,642,014.00 ",60,Bay Area Counties
07 - Contra Costa,2014-03-03T00:00:00,In Closure,"$11,557,539.00 ",15,Bay Area Counties
08 - Del Norte,2014-03-03T00:00:00,In Review,$0.00 ,0,""
08 - Del Norte,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
08 - Del Norte,2014-03-03T00:00:00,In Construction,"$1,561,000.00 ",2,""
08 - Del Norte,2014-03-03T00:00:00,In Closure,"$5,096,430.00 ",3,""
09 - El Dorado,2014-03-03T00:00:00,In Review,"$11,410,240.00 ",6,Greater Sacramento Counties
09 - El Dorado,2014-03-03T00:00:00,Pending Construction,"$12,500.00 ",1,Greater Sacramento Counties
09 - El Dorado,2014-03-03T00:00:00,In Construction,"$11,773,539.00 ",6,Greater Sacramento Counties
09 - El Dorado,2014-03-03T00:00:00,In Closure,"$24,129,130.00 ",4,Greater Sacramento Counties
10 - Fresno,2014-03-03T00:00:00,In Review,"$31,497,005.00 ",35,""
10 - Fresno,2014-03-03T00:00:00,Pending Construction,"$21,542,293.00 ",36,""
10 - Fresno,2014-03-03T00:00:00,In Construction,"$234,776,843.00 ",76,""
10 - Fresno,2014-03-03T00:00:00,In Closure,"$21,396,463.00 ",68,""
11 - Glenn,2014-03-03T00:00:00,In Review,"$12,962,075.00 ",2,""
11 - Glenn,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
11 - Glenn,2014-03-03T00:00:00,In Construction,"$224,685.00 ",1,""
11 - Glenn,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
12 - Humboldt,2014-03-03T00:00:00,In Review,"$8,686,000.00 ",10,""
12 - Humboldt,2014-03-03T00:00:00,Pending Construction,"$300,000.00 ",3,""
12 - Humboldt,2014-03-03T00:00:00,In Construction,"$89,150,693.00 ",13,""
12 - Humboldt,2014-03-03T00:00:00,In Closure,"$504,000.00 ",7,""
13 - Imperial,2014-03-03T00:00:00,In Review,"$25,535,000.00 ",3,""
13 - Imperial,2014-03-03T00:00:00,Pending Construction,"$95,000.00 ",3,""
13 - Imperial,2014-03-03T00:00:00,In Construction,"$108,000.00 ",2,""
13 - Imperial,2014-03-03T00:00:00,In Closure,"$513,076.00 ",3,""
14 - Inyo,2014-03-03T00:00:00,In Review,"$42,660.00 ",1,""
14 - Inyo,2014-03-03T00:00:00,Pending Construction,$250.00 ,1,""
14 - Inyo,2014-03-03T00:00:00,In Construction,"$9,300.00 ",2,""
14 - Inyo,2014-03-03T00:00:00,In Closure,"$543,587.00 ",2,""
15 - Kern,2014-03-03T00:00:00,In Review,"$7,465,182.00 ",32,""
15 - Kern,2014-03-03T00:00:00,Pending Construction,"$1,551,704.00 ",14,""
15 - Kern,2014-03-03T00:00:00,In Construction,"$73,376,518.00 ",36,""
15 - Kern,2014-03-03T00:00:00,In Closure,"$14,933,030.00 ",15,""
16 - Kings,2014-03-03T00:00:00,In Review,"$425,000.00 ",5,""
16 - Kings,2014-03-03T00:00:00,Pending Construction,"$4,955,000.00 ",4,""
16 - Kings,2014-03-03T00:00:00,In Construction,"$28,593,150.00 ",11,""
16 - Kings,2014-03-03T00:00:00,In Closure,"$427,586.00 ",4,""
17 - Lake,2014-03-03T00:00:00,In Review,"$1,879,000.00 ",7,""
17 - Lake,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
17 - Lake,2014-03-03T00:00:00,In Construction,"$5,747,340.00 ",14,""
17 - Lake,2014-03-03T00:00:00,In Closure,"$90,341.00 ",5,""
18 - Lassen,2014-03-03T00:00:00,In Review,"$975,870.00 ",3,""
18 - Lassen,2014-03-03T00:00:00,Pending Construction,"$145,120.00 ",1,""
18 - Lassen,2014-03-03T00:00:00,In Construction,"$1,165,643.00 ",9,""
18 - Lassen,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
19 - Los Angeles,2014-03-03T00:00:00,In Review,"$527,139,316.00 ",460,Greater Los Angeles Counties
19 - Los Angeles,2014-03-03T00:00:00,Pending Construction,"$256,096,171.00 ",524,Greater Los Angeles Counties
19 - Los Angeles,2014-03-03T00:00:00,In Construction,"$2,078,650,637.00 ",835,Greater Los Angeles Counties
19 - Los Angeles,2014-03-03T00:00:00,In Closure,"$778,909,102.00 ",780,Greater Los Angeles Counties
20 - Madera,2014-03-03T00:00:00,In Review,"$505,000.00 ",7,""
20 - Madera,2014-03-03T00:00:00,Pending Construction,"$819,156.00 ",4,""
20 - Madera,2014-03-03T00:00:00,In Construction,"$3,085,555.00 ",13,""
20 - Madera,2014-03-03T00:00:00,In Closure,"$17,219,097.00 ",19,""
21 - Marin,2014-03-03T00:00:00,In Review,"$5,453,918.00 ",12,Bay Area Counties
21 - Marin,2014-03-03T00:00:00,Pending Construction,"$1,793,700.00 ",7,Bay Area Counties
21 - Marin,2014-03-03T00:00:00,In Construction,"$24,028,101.00 ",18,Bay Area Counties
21 - Marin,2014-03-03T00:00:00,In Closure,"$5,758,361.00 ",17,Bay Area Counties
22 - Mariposa,2014-03-03T00:00:00,In Review,"$180,000.00 ",1,""
22 - Mariposa,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
22 - Mariposa,2014-03-03T00:00:00,In Construction,$0.00 ,0,""
22 - Mariposa,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
23 - Mendocino,2014-03-03T00:00:00,In Review,"$17,253,675.00 ",15,""
23 - Mendocino,2014-03-03T00:00:00,Pending Construction,"$1,070,000.00 ",6,""
23 - Mendocino,2014-03-03T00:00:00,In Construction,"$1,529,832.00 ",11,""
23 - Mendocino,2014-03-03T00:00:00,In Closure,"$37,697,300.00 ",5,""
24 - Merced,2014-03-03T00:00:00,In Review,"$233,600.00 ",4,""
24 - Merced,2014-03-03T00:00:00,Pending Construction,"$277,360.00 ",4,""
24 - Merced,2014-03-03T00:00:00,In Construction,"$13,094,410.00 ",5,""
24 - Merced,2014-03-03T00:00:00,In Closure,"$283,518.00 ",5,""
25 - Modoc,2014-03-03T00:00:00,In Review,$0.00 ,0,""
25 - Modoc,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
25 - Modoc,2014-03-03T00:00:00,In Construction,$0.00 ,0,""
25 - Modoc,2014-03-03T00:00:00,In Closure,"$39,312.00 ",1,""
26 - Mono,2014-03-03T00:00:00,In Review,"$190,794.00 ",2,""
26 - Mono,2014-03-03T00:00:00,Pending Construction,$0.00 ,0,""
26 - Mono,2014-03-03T00:00:00,In Construction,"$22,398.00 ",4,""
26 - Mono,2014-03-03T00:00:00,In Closure,$0.00 ,0,""
27 - Monterey,2014-03-03T00:00:00,In Review,"$1,353,990.00 ",9,""
27 - Monterey,2014-03-03T00:00:00,Pending Construction,"$1,862,876.00 ",7,""
27 - Monterey,2014-03-03T00:00:00,In Construction,"$39,629,709.00 ",16,""
27 - Monterey,2014-03-03T00:00:00,In Closure,"$2,335,347.00 ",13,""
28 - Napa,2014-03-03T00:00:00,In Review,"$1,138,950.00 ",6,Bay Area Counties
28 - Napa,2014-03-03T00:00:00,Pending Construction,"$1,029,014.00 ",8,Bay Area Counties
28 - Napa,2014-03-03T00:00:00,In Construction,"$34,305,628.00 ",13,Bay Area Counties
28 - Napa,2014-03-03T00:00:00,In Closure,"$49,451,759.00 ",15,Bay Area Counties
29 - Nevada,2014-03-03T00:00:00,In Review,"$15,381,431.00 ",7,""
29 - Nevada,2014-03-03T00:00:00,Pending Construction,"$3,935,181.00 ",5,""
29 - Nevada,2014-03-03T00:00:00,In Construction,"$29,306,694.00 ",20,""
29 - Nevada,2014-03-03T00:00:00,In Closure,"$1,267,000.00 ",1,""
30 - Orange,2014-03-03T00:00:00,In Review,"$51,531,983.00 ",90,Greater Los Angeles Counties
30 - Orange,2014-03-03T00:00:00,Pending Construction,"$22,707,711.00 ",60,Greater Los Angeles Counties
30 - Orange,2014-03-03T00:00:00,In Construction,"$213,187,434.00 ",131,Greater Los Angeles Counties
30 - Orange,2014-03-03T00:00:00,In Closure,"$336,087,725.00 ",233,Greater Los Angeles Counties
