County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
17 - Lake,2013-10-14T00:00:00,Pending Construction,"$69,500.00 ",2,""
17 - Lake,2013-10-14T00:00:00,In Construction,"$5,716,410.23 ",16,""
17 - Lake,2013-10-14T00:00:00,In Closure,"$22,628.04 ",1,""
18 - Lassen,2013-10-14T00:00:00,In Review,"$326,000.00 ",1,""
18 - Lassen,2013-10-14T00:00:00,Pending Construction,"$145,120.00 ",1,""
18 - Lassen,2013-10-14T00:00:00,In Construction,"$1,164,643.00 ",9,""
18 - Lassen,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
19 - Los Angeles,2013-10-14T00:00:00,In Review,"$542,343,590.05 ",432,Greater Los Angeles Counties
19 - Los Angeles,2013-10-14T00:00:00,Pending Construction,"$238,024,223.82 ",562,Greater Los Angeles Counties
19 - Los Angeles,2013-10-14T00:00:00,In Construction,"$2,339,840,925.53 ",843,Greater Los Angeles Counties
19 - Los Angeles,2013-10-14T00:00:00,In Closure,"$572,379,077.34 ",655,Greater Los Angeles Counties
20 - Madera,2013-10-14T00:00:00,In Review,"$695,954.00 ",1,""
20 - Madera,2013-10-14T00:00:00,Pending Construction,"$864,400.00 ",2,""
20 - Madera,2013-10-14T00:00:00,In Construction,"$4,080,108.00 ",20,""
20 - Madera,2013-10-14T00:00:00,In Closure,"$16,551,457.52 ",25,""
21 - Marin,2013-10-14T00:00:00,In Review,"$178,957,915.00 ",17,Bay Area Counties
21 - Marin,2013-10-14T00:00:00,Pending Construction,"$44,515,860.00 ",9,Bay Area Counties
21 - Marin,2013-10-14T00:00:00,In Construction,"$25,456,399.00 ",21,Bay Area Counties
21 - Marin,2013-10-14T00:00:00,In Closure,"$5,510,444.00 ",12,Bay Area Counties
22 - Mariposa,2013-10-14T00:00:00,In Review,$0.00 ,0,""
22 - Mariposa,2013-10-14T00:00:00,Pending Construction,$0.00 ,0,""
22 - Mariposa,2013-10-14T00:00:00,In Construction,$0.00 ,0,""
22 - Mariposa,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
23 - Mendocino,2013-10-14T00:00:00,In Review,"$3,466,175.00 ",7,""
23 - Mendocino,2013-10-14T00:00:00,Pending Construction,"$16,013,000.00 ",5,""
23 - Mendocino,2013-10-14T00:00:00,In Construction,"$2,246,074.00 ",13,""
23 - Mendocino,2013-10-14T00:00:00,In Closure,"$37,711,600.00 ",7,""
24 - Merced,2013-10-14T00:00:00,In Review,"$192,185.20 ",5,""
24 - Merced,2013-10-14T00:00:00,Pending Construction,"$237,500.00 ",3,""
24 - Merced,2013-10-14T00:00:00,In Construction,"$12,965,854.00 ",4,""
24 - Merced,2013-10-14T00:00:00,In Closure,"$343,375.00 ",5,""
25 - Modoc,2013-10-14T00:00:00,In Review,$0.00 ,0,""
25 - Modoc,2013-10-14T00:00:00,Pending Construction,"$12,500.00 ",1,""
25 - Modoc,2013-10-14T00:00:00,In Construction,$0.00 ,0,""
25 - Modoc,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
26 - Mono,2013-10-14T00:00:00,In Review,"$190,794.00 ",2,""
26 - Mono,2013-10-14T00:00:00,Pending Construction,"$12,000.00 ",1,""
26 - Mono,2013-10-14T00:00:00,In Construction,"$1,000.00 ",3,""
26 - Mono,2013-10-14T00:00:00,In Closure,"$533,972.00 ",2,""
27 - Monterey,2013-10-14T00:00:00,In Review,"$1,947,806.00 ",8,""
27 - Monterey,2013-10-14T00:00:00,Pending Construction,"$1,683,276.00 ",14,""
27 - Monterey,2013-10-14T00:00:00,In Construction,"$36,295,671.00 ",20,""
27 - Monterey,2013-10-14T00:00:00,In Closure,"$4,661,443.06 ",20,""
28 - Napa,2013-10-14T00:00:00,In Review,"$875,000.00 ",4,Bay Area Counties
28 - Napa,2013-10-14T00:00:00,Pending Construction,"$12,801,298.00 ",8,Bay Area Counties
28 - Napa,2013-10-14T00:00:00,In Construction,"$33,159,755.00 ",14,Bay Area Counties
28 - Napa,2013-10-14T00:00:00,In Closure,"$50,466,031.00 ",20,Bay Area Counties
29 - Nevada,2013-10-14T00:00:00,In Review,"$15,462,056.00 ",5,""
29 - Nevada,2013-10-14T00:00:00,Pending Construction,"$3,819,556.00 ",4,""
29 - Nevada,2013-10-14T00:00:00,In Construction,"$30,359,244.00 ",21,""
29 - Nevada,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
30 - Orange,2013-10-14T00:00:00,In Review,"$83,171,304.66 ",98,Greater Los Angeles Counties
30 - Orange,2013-10-14T00:00:00,Pending Construction,"$33,930,898.33 ",121,Greater Los Angeles Counties
30 - Orange,2013-10-14T00:00:00,In Construction,"$285,215,772.13 ",133,Greater Los Angeles Counties
30 - Orange,2013-10-14T00:00:00,In Closure,"$319,888,695.16 ",191,Greater Los Angeles Counties
31 - Placer,2013-10-14T00:00:00,In Review,"$8,897,190.00 ",8,Greater Sacramento Counties
31 - Placer,2013-10-14T00:00:00,Pending Construction,"$817,754.00 ",5,Greater Sacramento Counties
31 - Placer,2013-10-14T00:00:00,In Construction,"$56,620,358.80 ",17,Greater Sacramento Counties
31 - Placer,2013-10-14T00:00:00,In Closure,"$76,386,793.61 ",17,Greater Sacramento Counties
32 - Plumas,2013-10-14T00:00:00,In Review,"$45,441.00 ",2,""
32 - Plumas,2013-10-14T00:00:00,Pending Construction,"$83,000.00 ",2,""
32 - Plumas,2013-10-14T00:00:00,In Construction,"$85,900.00 ",2,""
32 - Plumas,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
33 - Riverside,2013-10-14T00:00:00,In Review,"$293,782,736.72 ",73,""
33 - Riverside,2013-10-14T00:00:00,Pending Construction,"$135,174,446.00 ",70,""
33 - Riverside,2013-10-14T00:00:00,In Construction,"$156,984,533.63 ",131,""
33 - Riverside,2013-10-14T00:00:00,In Closure,"$185,873,741.27 ",110,""
34 - Sacramento,2013-10-14T00:00:00,In Review,"$46,784,298.00 ",44,Greater Sacramento Counties
34 - Sacramento,2013-10-14T00:00:00,Pending Construction,"$92,122,260.00 ",35,Greater Sacramento Counties
34 - Sacramento,2013-10-14T00:00:00,In Construction,"$266,798,568.01 ",120,Greater Sacramento Counties
34 - Sacramento,2013-10-14T00:00:00,In Closure,"$110,752,565.40 ",51,Greater Sacramento Counties
35 - San Benito,2013-10-14T00:00:00,In Review,$0.00 ,0,""
