COUNTRY_CODE,SEX,AGE,TIME,RES_POP,pop
BE,M,Y_LT15,2011,GE1000000,513487
BE,M,Y15-29,2011,0-1000,66544
BE,M,Y15-29,2011,1000-9999,114144
BE,M,Y15-29,2011,10000-99999,122882
BE,M,Y15-29,2011,100000-499999,107605
BE,M,Y15-29,2011,500000-999999,63787
BE,M,Y15-29,2011,GE1000000,552520
BE,M,Y30-49,2011,0-1000,104028
BE,M,Y30-49,2011,1000-9999,174994
BE,M,Y30-49,2011,10000-99999,184079
BE,M,Y30-49,2011,100000-499999,153531
BE,M,Y30-49,2011,500000-999999,88413
BE,M,Y30-49,2011,GE1000000,855855
BE,M,Y50-64,2011,0-1000,75224
BE,M,Y50-64,2011,1000-9999,126633
BE,M,Y50-64,2011,10000-99999,137732
BE,M,Y50-64,2011,100000-499999,112073
BE,M,Y50-64,2011,500000-999999,61770
BE,M,Y50-64,2011,GE1000000,548580
BE,M,Y65-84,2011,0-1000,45828
BE,M,Y65-84,2011,1000-9999,80324
BE,M,Y65-84,2011,10000-99999,96715
BE,M,Y65-84,2011,100000-499999,72629
BE,M,Y65-84,2011,500000-999999,40481
BE,M,Y65-84,2011,GE1000000,386751
BG,F,Y_GE85,2011,0-1000,17892
BG,F,Y_GE85,2011,1000-9999,15762
BG,F,Y_GE85,2011,10000-99999,15345
BG,F,Y_GE85,2011,100000-499999,9344
BG,F,Y_GE85,2011,500000-999999,0
BG,F,Y_GE85,2011,GE1000000,12746
BG,F,Y_LT15,2011,0-1000,61166
BG,F,Y_LT15,2011,1000-9999,119472
BG,F,Y_LT15,2011,10000-99999,139954
BG,F,Y_LT15,2011,100000-499999,81253
BG,F,Y_LT15,2011,500000-999999,0
BG,F,Y_LT15,2011,GE1000000,71709
BG,F,Y15-29,2011,0-1000,70723
BG,F,Y15-29,2011,1000-9999,140102
BG,F,Y15-29,2011,10000-99999,189592
BG,F,Y15-29,2011,100000-499999,120544
BG,F,Y15-29,2011,500000-999999,0
BG,F,Y15-29,2011,GE1000000,135084
BG,F,Y30-49,2011,0-1000,107119
BG,F,Y30-49,2011,1000-9999,217157
BG,F,Y30-49,2011,10000-99999,314540
BG,F,Y30-49,2011,100000-499999,194939
BG,F,Y30-49,2011,500000-999999,0
BG,F,Y30-49,2011,GE1000000,182087
BG,F,Y50-64,2011,0-1000,120823
BG,F,Y50-64,2011,1000-9999,182607
BG,F,Y50-64,2011,10000-99999,249502
BG,F,Y50-64,2011,100000-499999,143464
BG,F,Y50-64,2011,500000-999999,0
BG,F,Y50-64,2011,GE1000000,128746
BG,F,Y65-84,2011,0-1000,172540
BG,F,Y65-84,2011,1000-9999,176103
BG,F,Y65-84,2011,10000-99999,180643
BG,F,Y65-84,2011,100000-499999,106287
BG,F,Y65-84,2011,500000-999999,0
BG,F,Y65-84,2011,GE1000000,100754
BG,M,Y_GE85,2011,0-1000,9498
BG,M,Y_GE85,2011,1000-9999,7782
BG,M,Y_GE85,2011,10000-99999,7822
BG,M,Y_GE85,2011,100000-499999,4857
BG,M,Y_GE85,2011,500000-999999,0
BG,M,Y_GE85,2011,GE1000000,6431
BG,M,Y_LT15,2011,0-1000,65307
BG,M,Y_LT15,2011,1000-9999,126924
BG,M,Y_LT15,2011,10000-99999,147589
BG,M,Y_LT15,2011,100000-499999,86051
BG,M,Y_LT15,2011,500000-999999,0
BG,M,Y_LT15,2011,GE1000000,75847
BG,M,Y15-29,2011,0-1000,84032
BG,M,Y15-29,2011,1000-9999,157802
BG,M,Y15-29,2011,10000-99999,199294
BG,M,Y15-29,2011,100000-499999,124126
BG,M,Y15-29,2011,500000-999999,0
BG,M,Y15-29,2011,GE1000000,136181
BG,M,Y30-49,2011,0-1000,132290
BG,M,Y30-49,2011,1000-9999,238578
BG,M,Y30-49,2011,10000-99999,320057
BG,M,Y30-49,2011,100000-499999,199243
BG,M,Y30-49,2011,500000-999999,0
BG,M,Y30-49,2011,GE1000000,182753
BG,M,Y50-64,2011,0-1000,122704
BG,M,Y50-64,2011,1000-9999,177985
BG,M,Y50-64,2011,10000-99999,226240
BG,M,Y50-64,2011,100000-499999,125358
BG,M,Y50-64,2011,500000-999999,0
BG,M,Y50-64,2011,GE1000000,104229
BG,M,Y65-84,2011,0-1000,127897
BG,M,Y65-84,2011,1000-9999,125938
BG,M,Y65-84,2011,10000-99999,124866
BG,M,Y65-84,2011,100000-499999,72696
BG,M,Y65-84,2011,500000-999999,0
BG,M,Y65-84,2011,GE1000000,66194
CH,F,Y_GE85,2011,0-1000,9810
CH,F,Y_GE85,2011,1000-9999,39645
CH,F,Y_GE85,2011,10000-99999,23678
CH,F,Y_GE85,2011,100000-499999,18001
CH,F,Y_GE85,2011,500000-999999,0
CH,F,Y_GE85,2011,GE1000000,0
CH,F,Y_LT15,2011,0-1000,0
CH,F,Y_LT15,2011,1000-9999,0
CH,F,Y_LT15,2011,10000-99999,0
CH,F,Y_LT15,2011,100000-499999,0
CH,F,Y_LT15,2011,500000-999999,0
CH,F,Y_LT15,2011,GE1000000,0
CH,F,Y15-29,2011,0-1000,79137
CH,F,Y15-29,2011,1000-9999,353009
CH,F,Y15-29,2011,10000-99999,174103
CH,F,Y15-29,2011,100000-499999,100045
CH,F,Y15-29,2011,500000-999999,0
CH,F,Y15-29,2011,GE1000000,0
CH,F,Y30-49,2011,0-1000,134357
CH,F,Y30-49,2011,1000-9999,582831
CH,F,Y30-49,2011,10000-99999,276273
CH,F,Y30-49,2011,100000-499999,176798
CH,F,Y30-49,2011,500000-999999,0
CH,F,Y30-49,2011,GE1000000,0
CH,F,Y50-64,2011,0-1000,89993
CH,F,Y50-64,2011,1000-9999,393042
CH,F,Y50-64,2011,10000-99999,180789
CH,F,Y50-64,2011,100000-499999,94966
CH,F,Y50-64,2011,500000-999999,0
CH,F,Y50-64,2011,GE1000000,0
CH,F,Y65-84,2011,0-1000,65079
CH,F,Y65-84,2011,1000-9999,302778
CH,F,Y65-84,2011,10000-99999,167145
CH,F,Y65-84,2011,100000-499999,88184
CH,F,Y65-84,2011,500000-999999,0
CH,F,Y65-84,2011,GE1000000,0
